Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,54.279999,55.000000,54.060001,54.570000,52.074059,89500
2021-12-28,54.599998,54.939999,53.910000,53.990002,51.520588,90800
2021-12-29,53.889999,54.389999,53.779999,54.049999,51.577839,84500
2021-12-30,54.049999,54.619999,53.939999,54.389999,51.902290,91300
2021-12-31,54.389999,54.980000,54.250000,54.790001,52.283997,74800
2022-01-03,54.790001,54.959999,54.200001,54.529999,52.035889,55900
2022-01-04,54.750000,55.220001,54.619999,54.750000,52.245827,117100
2022-01-05,54.750000,55.439999,53.880001,54.000000,51.530128,85300
2022-01-06,53.869999,54.410000,53.709999,54.070000,51.596928,62200
2022-01-07,54.169998,54.330002,53.820000,53.820000,51.358360,55700
2022-01-10,53.820000,54.639999,53.580002,54.070000,51.596928,99800
2022-01-11,54.700001,55.270000,53.990002,54.750000,52.245827,135700
2022-01-12,54.750000,55.779999,54.509998,55.580002,53.037865,86400
2022-01-13,55.779999,55.779999,54.849998,54.900002,52.388969,108500
2022-01-14,54.540001,55.830002,54.540001,55.740002,53.190548,65400
2022-01-18,55.709999,55.849998,54.700001,55.080002,52.560734,119400
2022-01-19,54.619999,54.919998,52.990002,53.849998,51.386990,136900
2022-01-20,53.599998,54.320000,53.150002,53.200001,50.766720,86100
2022-01-21,52.970001,54.090000,52.900002,53.240002,50.804893,116800
2022-01-24,52.830002,53.090000,51.709999,52.720001,50.308674,153500
2022-01-25,52.770000,53.790001,52.139999,53.669998,51.215221,136000
2022-01-26,53.619999,54.389999,53.230000,53.349998,50.909859,91900
2022-01-27,53.730000,54.680000,52.709999,52.860001,50.442272,92800
2022-01-28,52.980000,53.230000,52.200001,52.459999,50.060566,103200
2022-01-31,52.119999,53.020000,52.029999,52.820000,50.404099,83100
2022-02-01,52.590000,53.020000,52.110001,52.799999,50.385014,83100
2022-02-02,53.119999,54.349998,52.570000,53.980000,51.511044,131100
2022-02-03,53.980000,53.980000,52.880001,53.000000,50.575867,85000
2022-02-04,52.560001,52.790001,52.060001,52.500000,50.098736,60800
2022-02-07,52.509998,52.990002,52.389999,52.580002,50.175079,44600
2022-02-08,52.750000,53.509998,52.730000,53.279999,50.843060,75100
2022-02-09,53.439999,53.869999,53.439999,53.639999,51.186592,98400
2022-02-10,53.360001,54.369999,52.759998,52.840000,50.423187,74800
2022-02-11,52.529999,54.080002,52.529999,53.430000,50.986198,100100
2022-02-14,53.160000,53.360001,51.950001,52.380001,49.984226,87500
2022-02-15,52.779999,53.599998,52.779999,53.410000,50.967113,87800
2022-02-16,53.540001,53.930000,53.240002,53.700001,51.243851,71500
2022-02-17,53.700001,53.759998,53.209999,53.500000,51.052998,54700
2022-02-18,53.389999,53.540001,52.650002,53.400002,50.957573,119500
2022-02-22,52.720001,55.410000,52.720001,55.230000,52.703869,112800
2022-02-23,55.639999,55.639999,53.529999,53.689999,51.234306,195900
2022-02-24,52.869999,52.869999,51.169998,52.580002,50.175079,136300
2022-02-25,53.709999,55.680000,53.570000,55.470001,52.932892,143300
2022-02-28,54.980000,55.180000,53.630001,55.060001,52.541645,104000
2022-03-01,55.029999,55.279999,52.799999,53.270000,50.833519,136700
2022-03-02,53.380001,54.880001,53.380001,54.759998,52.255367,116500
2022-03-03,54.340000,54.880001,53.610001,54.049999,51.577839,123500
2022-03-04,53.480000,53.480000,52.099998,52.619999,50.213249,171300
2022-03-07,52.410000,52.889999,50.209999,51.209999,48.867741,103900
2022-03-08,51.250000,52.000000,50.669998,51.099998,48.762768,91800
2022-03-09,51.900002,52.810001,51.419998,52.720001,50.308674,94700
2022-03-10,52.349998,52.840000,51.070000,51.360001,49.010880,90200
2022-03-11,51.630001,52.259998,51.310001,51.599998,49.239902,71200
2022-03-14,51.820000,52.240002,50.599998,50.680000,48.361980,149100
2022-03-15,51.009998,51.160000,50.610001,51.020000,48.686432,91500
2022-03-16,51.790001,53.110001,51.610001,52.410000,50.012852,90100
2022-03-17,52.490002,53.049999,52.049999,52.880001,50.461357,98900
2022-03-18,52.869999,53.130001,52.080002,52.400002,50.003311,193500
2022-03-21,52.680000,52.700001,52.110001,52.380001,49.984226,67100
2022-03-22,52.939999,52.939999,52.340000,52.599998,50.194160,91700
2022-03-23,52.500000,53.200001,52.439999,53.020000,50.594952,97100
2022-03-24,53.169998,53.619999,52.689999,53.520000,51.072086,72200
2022-03-25,53.509998,54.049999,52.889999,53.889999,51.425159,93700
2022-03-28,54.000000,54.000000,53.020000,53.529999,51.081627,52400
2022-03-29,54.220001,55.290001,53.930000,54.990002,52.474850,128200
2022-03-30,54.529999,55.099998,53.310001,53.520000,51.072086,101700
2022-03-31,53.459999,55.150002,53.400002,54.950001,52.436680,109500
2022-04-01,55.020000,56.009998,55.020000,56.000000,53.438652,81600
2022-04-04,55.860001,56.099998,55.560001,55.720001,53.171463,46600
2022-04-05,55.340000,55.720001,54.549999,55.290001,52.761131,90200
2022-04-06,54.849998,55.549999,54.730000,55.090000,52.570278,98300
2022-04-07,55.090000,55.240002,54.330002,54.770000,52.264912,85200
2022-04-08,54.930000,55.290001,54.230000,55.240002,52.713413,76900
2022-04-11,55.220001,55.599998,54.880001,55.130001,52.608448,95200
2022-04-12,55.590000,55.980000,55.430000,55.459999,52.923347,70500
2022-04-13,55.509998,55.990002,55.400002,55.810001,53.257343,70800
2022-04-14,55.590000,56.410000,55.450001,55.889999,53.333683,69400
2022-04-18,56.250000,56.680000,55.660000,56.669998,54.078007,74700
2022-04-19,56.669998,56.669998,55.779999,56.139999,53.572250,70100
2022-04-20,56.520000,57.029999,56.060001,56.869999,54.268860,115200
2022-04-21,57.340000,57.709999,56.580002,56.750000,54.154350,102600
2022-04-22,57.000000,57.000000,56.250000,56.310001,53.734478,122400
2022-04-25,56.320000,56.509998,55.480000,56.099998,53.534077,95600
2022-04-26,56.119999,56.119999,54.169998,54.200001,51.720982,94400
2022-04-27,54.520000,54.910000,53.980000,54.330002,51.845039,79900
2022-04-28,54.910000,55.389999,54.230000,55.119999,52.598904,90700
2022-04-29,53.880001,55.160000,53.840000,54.599998,53.413803,180300
